timestamp,__name__,application,instance,job,value
2024-12-03 00:21:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003341547972098074
2024-12-03 00:22:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00020891655872644463
2024-12-03 00:23:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003763013755905841
2024-12-03 00:24:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0002506265664160401
2024-12-03 00:25:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0001684352366515075
2024-12-03 00:26:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00037626991094945436
2024-12-03 00:27:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00041772839299887213
2024-12-03 00:28:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00041835752834372257
2024-12-03 00:29:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00025071034598027743
2024-12-03 00:30:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003342804613070366
2024-12-03 00:32:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0004180776788327271
2024-12-03 00:33:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00041684035014589413
2024-12-03 00:34:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0005841121495327103
2024-12-03 00:35:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0004173100196135709
2024-12-03 00:36:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.000251035521526296
2024-12-03 00:37:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00025066844919786093
2024-12-03 00:38:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003766478342749529
2024-12-03 00:39:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0005028494803888703
2024-12-03 00:40:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00020899515131248954
2024-12-03 00:41:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0002939323955490237
2024-12-03 00:42:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0004178331174528893
2024-12-03 00:43:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00037644303162121467
2024-12-03 00:44:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00037584565271861687
2024-12-03 00:45:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0005026809651474531
